,baseMarket,quoteMarket,hedgeRatio,halfLife
0,BTC-USD_x,ETH-USD,15.342296692276904,10.71447273417531
1,BTC-USD_x,SOL-USD,217.62461966813098,11.22860629205176
2,BTC-USD_x,BLUR-USD,234083.08917401018,10.169035654069807
3,BTC-USD_x,BNB-USD,103.63328154723933,8.567311853617632
4,BTC-USD_x,RENDER-USD,5013.690857477604,11.150599126788208
5,BTC-USD_y,ETH-USD,15.342296692276904,10.71447273417531
6,BTC-USD_y,SOL-USD,217.62461966813098,11.22860629205176
7,BTC-USD_y,BLUR-USD,234083.08917401018,10.169035654069807
8,BTC-USD_y,BNB-USD,103.63328154723933,8.567311853617632
9,BTC-USD_y,RENDER-USD,5013.690857477604,11.150599126788208
10,ETH-USD,ADA-USD,2016.6776571180928,9.52576159810909
11,ETH-USD,AVAX-USD,60.21678430287448,13.174828249409044
12,ETH-USD,FIL-USD,538.4179054373789,10.37707640345958
13,ETH-USD,DOGE-USD,9401.339740985137,9.106357229591419
14,ETH-USD,BCH-USD,6.868268787524441,7.1087086809434865
15,ETH-USD,MKR-USD,1.0473542097604374,7.764486932518838
16,ETH-USD,XLM-USD,9969.37340160159,6.367135167959044
17,ETH-USD,ETC-USD,80.07473438927241,10.09164410431123
18,ETH-USD,WLD-USD,1310.5894015318534,8.320364709508404
19,ETH-USD,ARB-USD,3340.0259425137992,7.615061355719789
20,ETH-USD,LDO-USD,1188.0274585849297,7.653811051315988
21,ETH-USD,BONK-USD,99705786.84954149,9.147379991237244
22,ETH-USD,ICP-USD,271.5742172110801,11.499298553191537
23,ETH-USD,INJ-USD,116.51031208175507,7.014078923208568
24,ETH-USD,GRT-USD,13696.409891498746,10.70150880654458
25,ETH-USD,FLOKI-USD,20111772.274011694,15.399141410363878
26,ETH-USD,ALGO-USD,7303.9643359872625,10.705172377701732
27,ETH-USD,ENS-USD,79.03445756036481,10.61663485154704
28,ETH-USD,MANA-USD,6437.8526708901045,9.681045005868592
29,LINK-USD,SHIB-USD,1280604.6199216018,6.703921351764974
30,LINK-USD,SUI-USD,5.502201701341069,5.11430337345877
31,LINK-USD,MICHI-USD,55.81110442124198,15.511442832385573
32,LINK-USD,TON-USD,-4.122291654088002,22.564992292081126
33,LINK-USD,OKB-USD,-0.2522290493896346,18.025344492734586
34,LINK-USD,AR-USD,1.8964567653542157,17.870290525294326
35,LINK-USD,CORE-USD,-151.11299794229126,17.41198418020335
36,LINK-USD,USDE-USD,-697.4487098969172,15.93458417707774
37,LINK-USD,PENDLE-USD,-1.556805156019882,15.934584177077216
38,LINK-USD,CKB-USD,2660.4547747178103,8.181072261229884
39,LINK-USD,TUSD-USD,-472.30911194071336,15.266786126548135
40,LINK-USD,BDX-USD,185.18783335604965,19.540374574380436
41,LINK-USD,ARKM-USD,29.060362912370678,15.934584177077223
42,LINK-USD,MOODENG-USD,45.304029139018446,15.632977409185894
43,LINK-USD,XEC-USD,1262132.6923771787,14.968148894917883
44,LINK-USD,USUAL-USD,22.17642956746916,15.934584177077173
45,LINK-USD,MOVE-USD,13.318635216160754,17.741781103148416
46,CRV-USD,PEPE-USD,66991.14978147983,6.631682224346654
47,CRV-USD,KAS-USD,2.53637270527288,22.986794525589644
48,CRV-USD,TAO-USD,0.0007941583650785463,23.852021412250554
49,CRV-USD,EGO-USD,1022.1763293988449,14.52857789085878
50,CRV-USD,ZEN-USD,0.7904429081080792,16.134822266808445
51,CRV-USD,CKB-USD,62.27165466886059,21.815223398388564
52,CRV-USD,"CBETH,UNISWAP_V3,0XBE9895146F7AF43049CA1C1AE358B0541EA49704-USD",0.00010958560573341334,22.500191897023825
53,SOL-USD,BCH-USD,0.4200913077986721,8.38943590046234
54,SOL-USD,XLM-USD,639.7051596586628,4.890212779265812
55,SOL-USD,APE-USD,150.88756799140012,7.3820292214549825
56,SOL-USD,APT-USD,19.27757220814589,4.082158640434197
57,SOL-USD,ARB-USD,208.02589265667024,7.586108894023247
58,SOL-USD,SEI-USD,417.35024548026195,7.7420077544686094
59,SOL-USD,TIA-USD,18.011787846961823,7.410334343829671
60,SOL-USD,BONK-USD,6310469.928593425,7.033619423243234
61,SOL-USD,ZRO-USD,38.62086143290194,7.077729470283388
62,SOL-USD,ZK-USD,930.751580940285,7.03293997939918
63,SOL-USD,BNB-USD,0.40797467690427536,6.876217403461082
64,SOL-USD,ICP-USD,17.35043408952219,7.061038446892454
65,SOL-USD,GRT-USD,866.8589416547773,7.544169160946855
66,SOL-USD,AAVE-USD,0.5212064858834943,7.6109509651355625
67,ADA-USD,FIL-USD,0.2654191173818852,12.063161592454684
68,ADA-USD,BCH-USD,0.0033171119343738302,5.521368880104202
69,ADA-USD,MKR-USD,0.000507359783864578,8.784524968209459
70,ADA-USD,ETC-USD,0.03890805916216426,13.760828928842065
71,ADA-USD,ARB-USD,1.6143439256517351,6.659593310270552
72,ADA-USD,LDO-USD,0.5708783295988537,6.352106772028692
73,ADA-USD,BONK-USD,47200.21693048226,14.468760109885212
74,ADA-USD,MANA-USD,3.163355882943128,9.607460924714553
75,AVAX-USD,DOT-USD,6.3426591290993315,9.786301327209257
76,FIL-USD,BCH-USD,0.01249772165363126,3.2333802193405363
77,FIL-USD,MKR-USD,0.0018669515649730542,10.887761390577161
78,FIL-USD,ETC-USD,0.14467717657360601,10.053505880984103
79,FIL-USD,BONK-USD,176337.86905102542,11.770688583723144
80,FIL-USD,INJ-USD,0.20486655468561815,12.356559353919184
81,FIL-USD,MANA-USD,11.576894288326107,12.159093173649605
82,LTC-USD,DOGE-USD,230.91896754367102,11.037190092525103
